,lemma,frequency
0,анкета,3.2153846153846146
1,начальник,4.558114754098364
2,областной,4.067837837837837
3,управление,4.975016949152527
4,связь,5.180542005420049
5,семен,4.040126582278479
6,еремеевич,1.148541666666667
7,быть,6.187015241747993
8,человек,5.687697899838535
9,простой,4.365163398692809
10,приходить,4.231714285714287
11,на,7.279999999999091
12,работа,5.4196138211381975
13,всегда,5.829999999999967
14,вовремя,4.569999999999997
15,здороваться,2.511428571428571
16,с,7.052890173409359
17,секретарша,2.7911111111111113
18,за,6.689999999999982
19,рука,4.92996007984032
20,и,7.510000000001626
21,иногда,5.389999999999995
22,даже,6.039999999999967
23,писать,4.504054669703877
24,в,7.59210911754239
25,стенгазета,2.05
26,заметка,3.7753846153846147
27,под,6.076556372548967
28,псевдоним,3.02
29,муха,3.5759259259259255
30,приемная,3.543750000000001
31,он,6.441594043886987
32,утро,4.95094488188977
33,ожидать,3.8869934640522827
34,посетитель,3.7661290322580636
35,кое-кто,4.808333333333334
36,важный,4.412182468694106
37,дело,5.4002364273204835
38,а,6.860000000000421
39,такой,5.483101832126194
40,который,5.725089613474086
41,легко,5.035263157894727
42,можно,6.069999999999904
43,решить,4.605809248554909
44,нижестоящий,2.1825
45,инстанция,2.995263157894737
46,не,7.249914577678428
47,затруднять,2.7345454545454544
48,однако,5.789999999999969
49,стиль,4.322753623188405
50,заключаться,4.096184210526317
51,то,6.277127890887107
52,чтобы,6.232895377128955
53,принимать,4.143181818181814
54,весь,6.053562885103414
55,желать,3.682177419354835
56,лично,4.910000000000004
57,вникать,2.28
58,обставить,2.39
59,просто,5.980727272727258
60,но,6.689999999999567
61,по-деловому,2.82
62,у,6.6700000000000665
63,дверь,4.648749999999994
64,стоять,4.537675840978584
65,стол,4.53181818181818
66,машинка,3.3061111111111123
67,широкий,3.9696842105263133
68,каретка,1.37
69,угол,4.0431707317073196
70,висеть,3.2770588235294116
71,репродуктор,1.6600000000000001
72,играть,4.588716577540112
73,радио,4.789999999999998
74,для,6.680000000000225
75,развлечение,3.3784615384615386
76,еще,6.272271619975779
77,заглушать,2.0949999999999998
78,голос,4.603494623655909
79,доноситься,2.531428571428571
80,из,6.7638704318940475
81,кабинет,4.254210526315792
82,так,6.4707284482760965
83,как,6.859454773344876
84,бесспорно,3.6599999999999997
85,среди,5.553573883161476
